Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2022-06-23,Members Exchange (U),202852996,100891450,169931492,473675938,5142294940.577000,5141062368.740300,5406518047.831097,15689875357.148397,1768535,578995,1483220,3830750
2022-06-23,Investors Exchange (V),186159900,38547639,140610840,365318379,9547743002.168400,2467962755.764900,7496799919.315899,19512505677.249199,2365750,272897,1831253,4469900
2022-06-23,NASDAQ PSX (X),31272632,35772812,29126157,96171601,720724971.527700,1532349805.505300,1290644379.530500,3543719156.563500,257022,153646,278751,689419
2022-06-23,BYX Equities (Y),71165677,41633190,52856482,165655349,1677799630.015300,2533167971.226600,1725701584.427800,5936669185.669700,737508,247156,573957,1558621
2022-06-23,BZX Equities (Z),261968764,182361358,221336443,665666565,9212764139.144598,12438130071.832308,10590243923.401504,32241138134.378410,3264079,1278824,2589186,7132089
2022-06-22,NYSE American (A),16481267,32458534,12363257,61303058,472449322.230300,744461097.018400,438122089.926700,1655032509.175400,174490,111171,125826,411487
2022-06-22,NASDAQ BX (B),24093759,15822573,23204566,63120898,1005559216.921400,1064589139.804700,1144188898.564700,3214337255.290800,529193,122676,428655,1080524
2022-06-22,NYSE National (C),46493123,28424219,31611947,106529289,962318145.520000,1150152821.270900,842004727.736200,2954475694.527100,480816,154530,355449,990795
2022-06-22,FINRA / Nasdaq TRF Chicago (DB),7580728,2660625,11020896,21262249,264554205.944200,133740812.929700,758309138.614800,1156604157.488700,31448,10001,51602,93051
2022-06-22,FINRA / NYSE TRF (DN),260606674,125465207,519776925,905848806,7488455337.180296,5522505190.365795,15416384897.050403,28427345424.596494,1307519,289785,1412658,3009962
2022-06-22,FINRA / Nasdaq TRF Carteret (DQ),1592104604,751529600,1987808569,4331442773,57596022184.121617,43080014333.361529,74632417383.117397,175308453900.600543,7317646,2080495,6617797,16015938
2022-06-22,MIAX Pearl (H),53333402,31749606,35382058,120465066,1073580458.203500,1573740209.281400,1304025144.052800,3951345811.537700,396846,135139,336757,868742
2022-06-22,EDGA Equities (J),76604526,36450538,61190526,174245590,2460084765.799000,1891359500.600800,2398871293.938300,6750315560.338100,1037254,267678,799784,2104716
2022-06-22,EDGX Equities (K),251338313,107630549,290877861,649846723,7649943907.003698,6173293185.076901,10856990670.704810,24680227762.785409,2222028,588606,1926250,4736884
2022-06-22,LTSE (L),95060,53322,75580,223962,4430813.620000,5555427.100000,22149297.890200,32135538.610200,401,580,892,1873
2022-06-22,NYSE Chicago (M),11969786,18570128,13426669,43966583,689518394.035900,2816527586.455000,2486259020.845100,5992305001.336000,54237,5473,39123,98833
2022-06-22,NYSE (N),1216817596,45904943,77704397,1340426936,52973883555.203497,2895588318.596500,3002680788.555801,58872152662.355798,4699964,230935,628722,5559621
2022-06-22,NYSE Arca (P),268639986,369005631,395211063,1032856680,8382018898.874897,21771284158.246396,15501795742.739402,45655098799.860695,2528250,1540982,3230637,7299869
2022-06-22,NASDAQ (Q),539865451,228509463,1205172754,1973547668,21618469549.154498,15450462552.846599,56597613759.325791,93666545861.326888,7115595,1661622,8991968,17769185
2022-06-22,Members Exchange (U),186225169,86146416,152932606,425304191,4540857023.888999,4854522776.997701,4845954360.287799,14241334161.174499,1555610,500252,1268513,3324375
2022-06-22,Investors Exchange (V),163231524,34980573,128626596,326838693,8268734728.472598,2263877012.522800,7042374171.960701,17574985912.956099,2118840,232789,1654593,4006222
2022-06-22,NASDAQ PSX (X),27372367,34736817,26870403,88979587,638405437.037900,1585410480.438500,1066959706.238900,3290775623.715300,236385,154582,232794,623761
2022-06-22,BYX Equities (Y),73482036,36874113,49224421,159580570,1583281401.556300,2240882758.770600,1619533434.126100,5443697594.453000,698969,217007,523993,1439969
2022-06-22,BZX Equities (Z),242662874,170876469,215705358,629244701,8223884815.470099,12240977921.718101,9863510635.000403,30328373372.188603,2957494,1128229,2362529,6448252
2022-06-21,NYSE American (A),16140000,32891936,12892973,61924909,519835118.047100,665364178.875000,455089455.464100,1640288752.386200,177321,105077,146572,428970
2022-06-21,NASDAQ BX (B),25316360,14847914,23798134,63962408,999245323.066300,929156856.549200,1223010836.578300,3151413016.193800,522668,125939,461711,1110318
2022-06-21,NYSE National (C),46974510,28948127,32025804,107948441,930235497.934800,1090549545.355901,807105968.270600,2827891011.561301,454595,155357,352304,962256
2022-06-21,FINRA / Nasdaq TRF Chicago (DB),7843093,3164884,12161802,23169779,259060427.947600,146337185.862800,714779224.005000,1120176837.815400,33433,10732,55077,99242
2022-06-21,FINRA / NYSE TRF (DN),283159095,129668638,456800451,869628184,7760832075.042693,5220406538.043099,15393140349.314901,28374378962.400693,1419161,323139,1647473,3389773
2022-06-21,FINRA / Nasdaq TRF Carteret (DQ),1707493043,878571189,1978187779,4564252011,62340384425.893602,47444141502.452899,83238894133.513977,193023420061.860478,7839418,2379083,7555951,17774452
2022-06-21,MIAX Pearl (H),47438968,24706828,35489972,107635768,1057383362.526200,1199155847.013500,1247228044.413700,3503767253.953400,424851,118111,371736,914698
2022-06-21,EDGA Equities (J),77105424,33730623,65454110,176290157,2546481302.714900,1700851688.376000,2449598765.186500,6696931756.277400,1069782,258635,875472,2203889
2022-06-21,EDGX Equities (K),270570928,107775158,278505912,656851998,8277666538.890203,5712956249.315301,11214649170.974102,25205271959.179606,2312471,588658,2096101,4997230
2022-06-21,LTSE (L),23140,168123,26224,217487,1444383.870000,41549363.120000,1147136.920000,44140883.910000,248,1034,308,1590
2022-06-21,NYSE Chicago (M),18919313,10621671,16519284,46060268,1345780595.545000,1673863380.635300,2621231656.306499,5640875632.486799,49234,4948,39533,93715
2022-06-21,NYSE (N),1261030624,38920411,81073336,1381024371,54984950708.961690,2635522095.457300,3124618068.375600,60745090872.794590,4775619,215810,699466,5690895
2022-06-21,NYSE Arca (P),262270155,370916420,364466807,997653382,8404621809.731601,21831428045.976492,16250553490.833207,46486603346.541300,2513836,1502572,3445067,7461475
2022-06-21,NASDAQ (Q),566787535,210206335,1272105859,2049099729,23091649399.238301,14041632503.183398,63497947075.177312,100631228977.599011,7415264,1580840,9918107,18914211
2022-06-21,Members Exchange (U),188198678,84050699,165025471,437274848,4665621718.484901,4636140213.933100,5173230489.893302,14474992422.311303,1605893,491850,1432496,3530239
2022-06-21,Investors Exchange (V),170876146,37637455,140324928,348838529,8494353015.368398,2557724946.005600,8214698593.679301,19266776555.053299,2086175,255175,1760588,4101938
2022-06-21,NASDAQ PSX (X),27172423,28423248,26018891,81614562,614577039.081600,1286131598.501300,1004649879.211700,2905358516.794600,239769,133146,249890,622805
2022-06-21,BYX Equities (Y),69880527,38061631,50849846,158792004,1644526256.241300,2183066683.086500,1790843204.774200,5618436144.102000,705568,222228,582277,1510073
2022-06-21,BZX Equities (Z),245066367,144807174,214540681,604414222,8509107645.994500,9994037500.225303,9987836593.017000,28490981739.236803,3081078,982032,2580215,6643325
2022-06-17,NYSE American (A),25045516,130524762,17198326,172768604,784647951.077500,1331191928.365500,682659378.585000,2798499258.028000,256388,142750,179875,579013
2022-06-17,NASDAQ BX (B),31174763,20738978,28687048,80600789,1254882330.848600,1307441454.471600,1396352224.857000,3958676010.177200,671341,167391,555067,1393799
2022-06-17,NYSE National (C),65143913,36987810,40405073,142536796,1492313491.290200,1489915605.986900,1056650079.548300,4038879176.825400,655160,204992,430912,1291064
